id,tree_re,tree_im,ep0_re,ep0_im,epm1_re,epm1_im,epm2_re,epm2_im
0,-6.46515260019458045e-005,0.0000000000000000,1.49417651051592760e-004,5.86699820257957953e-005,1.70402791764623563e-005,5.08592019705623301e-006,1.61889867818927983e-006,-1.79233743238371622e-019
1,1.51704657506450229e-004,-0.0000000000000000,-2.66389306362540710e-004,-1.37439413291413892e-004,-3.99849760340603859e-005,-1.19341000794179648e-005,-3.79874203775496985e-006,3.91765159983761500e-019
2,2.57684075773676011e-004,-0.0000000000000000,-4.08314654768564245e-004,-2.33392325503295722e-004,-6.79180966770858747e-005,-2.02711478984593990e-005,-6.45250678027633950e-006,-1.63535713897404238e-019
3,3.78832293317746943e-004,-0.0000000000000000,-5.70193874870610399e-004,-3.43389394170155759e-004,-9.98492756868963520e-005,-2.98014746292512268e-005,-9.48610399729218285e-006,2.99645319551799142e-019
4,5.11131510749252092e-004,-0.0000000000000000,-7.46668052979329502e-004,-4.64088398189902796e-004,-1.34719536927778384e-004,-4.02090133772913273e-005,-1.27989264716490648e-005,-1.38150361716799951e-019
5,6.50327207127669965e-004,-0.0000000000000000,-9.32052887133029201e-004,-5.91967254067057207e-004,-1.71407511283190285e-004,-5.11590751519956725e-005,-1.62844393888889599e-005,-7.06274049877006787e-020
6,7.91951169707750396e-004,-0.0000000000000000,-1.12037135074907626e-003,-7.23348366715630695e-004,-2.08735506633772545e-004,-6.23001605404204043e-005,-1.98307570108429321e-005,1.96359768916498239e-019
7,9.31341251120688181e-004,-0.0000000000000000,-1.30538163424272886e-003,-8.54423026459149313e-004,-2.45474715282243620e-004,-7.32655139383383902e-005,-2.33211374028830159e-005,-3.08787393934602770e-019
8,1.06365447578158864e-003,-0.0000000000000000,-1.48059559492778881e-003,-9.81274579413746227e-004,-2.80348668425161283e-004,-8.36741545884881139e-005,-2.66343106235529204e-005,-8.61992422161530645e-020
9,1.18386908064821656e-003,-0.0000000000000000,-1.63928116838393313e-003,-1.09989914605484172e-003,-3.12033774037191085e-004,-9.31310371198259846e-005,-2.96445298257797588e-005,6.11568585652982464e-019
10,1.28676945858628407e-003,-0.0000000000000000,-1.77443923601519420e-003,-1.20622283102147241e-003,-3.39155348375338940e-004,-1.01225867091979144e-004,-3.22211942329399416e-005,3.19196539344305942e-019
11,1.36690541187200164e-003,-0.0000000000000000,-1.87874037186890053e-003,-1.29611477888947214e-003,-3.60276876379560099e-004,-1.07529895605397956e-004,-3.42278288314299103e-005,-2.32960109197250177e-019
12,1.41851297806770953e-003,-0.0000000000000000,-1.94439788876093491e-003,-1.36539628741906712e-003,-3.73879143649766808e-004,-1.11589690933585849e-004,-3.55201018203366321e-005,-2.75271987557083246e-019
13,1.43537720514717599e-003,-0.0000000000000000,-1.96293700139929268e-003,-1.40984778128794546e-003,-3.78324067915923623e-004,-1.12916343492061388e-004,-3.59423884488524256e-005,-1.98864008104969031e-018
14,1.41060546031833499e-003,-0.0000000000000000,-1.92478801234430372e-003,-1.42521799687036696e-003,-3.71794949843796550e-004,-1.10967632849660625e-004,-3.53220945832509044e-005,-1.51389264831580357e-019
15,1.33625895183927526e-003,-0.0000000000000000,-1.81856738585083012e-003,-1.40724249723211264e-003,-3.52199352655992225e-004,-1.05119040677987326e-004,-3.34604298737720105e-005,6.04992880904548542e-019
16,1.20275156170180568e-003,-0.0000000000000000,-1.62977623433213301e-003,-1.35167650990818036e-003,-3.17010651906007640e-004,-9.46164590087452957e-005,-3.01173542976082090e-005,-2.71847958889540749e-018
17,9.97850468461071796e-004,-0.0000000000000000,-1.33835151396212958e-003,-1.25431619811829792e-003,-2.63004628373975688e-004,-7.84975725252217479e-005,-2.49865533761245673e-005,4.56621673425022671e-018
18,7.04960474548452535e-004,-0.0000000000000000,-9.13836203627359234e-004,-1.11082771663014411e-003,-1.85807266205329229e-004,-5.54568923166615926e-005,-1.76524770815959895e-005,-3.79631985199382282e-018
19,3.00040331476620519e-004,-0.0000000000000000,-3.05378778468380283e-004,-9.15557949718277114e-004,-7.90819850983767291e-005,-2.36031734477755353e-005,-7.51312345324338768e-006,5.04828968771882480e-018
20,2.54293720431954327e-004,-0.0000000000000000,-5.79795152621271660e-004,6.55996744739036769e-004,-6.70244967083444320e-005,-2.00044399354781365e-005,-6.36761099946663173e-006,6.51186015959390534e-018
21,1.02102227058742585e-003,-0.0000000000000000,-1.92313825843703720e-003,2.90433945730084186e-004,-2.69112047666876313e-004,-8.03204210155805155e-005,-2.55667840709217842e-005,-1.07715859898347180e-017
22,2.11733678853387930e-003,-0.0000000000000000,-4.09083097616972681e-003,-3.32579624801480900e-004,-5.58068962041064105e-004,-1.66563832325447060e-004,-5.30189145107886090e-005,8.87302756530134967e-018
23,3.79466643914295283e-003,-0.0000000000000000,-7.81590023575873261e-003,-1.71297514836751819e-003,-1.00016472212043702e-003,-2.98513768764003661e-004,-9.50198837630547685e-005,1.11030355129054753e-017
24,6.76175977274864025e-003,-0.0000000000000000,-1.50438362978806139e-002,-5.19113949652166839e-003,-1.78220502201123857e-003,-5.31925117978089904e-004,-1.69317023761051061e-004,8.41296293408506247e-018
25,-8.07020951377857525e-005,0.0000000000000000,1.62302963276824970e-004,7.30100366064972869e-005,2.12707466793127550e-005,6.34856503698451094e-006,2.02081100493532839e-006,-8.74553404509405590e-019
26,-1.79353593625469868e-004,0.0000000000000000,2.93202436147615639e-004,1.62269061726734632e-004,4.72724388465366288e-005,1.41091497923588484e-005,4.49108186330329967e-006,-1.89639698574026442e-019
27,2.91645006239742057e-004,-0.0000000000000000,-4.41914435808989222e-004,-2.64141325835614963e-004,-7.68692192964162571e-005,-2.29427411752769363e-005,-7.30290133218634318e-006,1.96418937845533097e-020
28,4.13087483359160176e-004,-0.0000000000000000,-6.02431823353324382e-004,-3.74853950892090624e-004,-1.08877956649713691e-004,-3.24962163265470638e-005,-1.03438669202548710e-005,-1.63822167291716823e-019
29,5.39035949890938576e-004,-0.0000000000000000,-7.68520827311345266e-004,-4.90517165831929128e-004,-1.42074342962352564e-004,-4.24041626554096313e-005,-1.34976641884760228e-005,-2.33849259238606575e-020
30,6.64713303145036244e-004,-0.0000000000000000,-9.33752895978288673e-004,-6.07146309892058768e-004,-1.75199271629186823e-004,-5.22907814060581544e-005,-1.66446726777822865e-005,2.34903545162460084e-019
31,7.85232968895089559e-004,-0.0000000000000000,-1.09153286646695969e-003,-7.20683717127008341e-004,-2.06964782498866395e-004,-6.17716620609456193e-005,-1.96625307199453865e-005,-1.22109906378379204e-019
32,8.95616758463931430e-004,-0.0000000000000000,-1.23511875765542354e-003,-8.27018458640727612e-004,-2.36058768493006734e-004,-7.04551870989770336e-005,-2.24265825865053524e-005,1.21550274702384381e-019
33,9.90804347557877087e-004,-0.0000000000000000,-1.35762717999248742e-003,-9.22001622660581933e-004,-2.61147473952266578e-004,-7.79432776640847134e-005,-2.48101158420898790e-005,1.30682238220878757e-019
34,1.06564969003374206e-003,-0.0000000000000000,-1.45201620386821006e-003,-1.00145421769242760e-003,-2.80874549976123584e-004,-8.38311098937575503e-005,-2.66842715436408823e-005,-4.07222162871381917e-019
35,1.11489808237933015e-003,-0.0000000000000000,-1.51103384438560674e-003,-1.06116427068802610e-003,-2.93855006435455235e-004,-8.77053184277375348e-005,-2.79174699264818833e-005,-5.22771921249171118e-019
36,1.13313505404389519e-003,-0.0000000000000000,-1.52711481249835743e-003,-1.09686638589851990e-003,-2.98661746630196178e-004,-8.91399602418152222e-005,-2.83741305988854486e-005,-9.23690199769127869e-021
37,1.11469415396967019e-003,-0.0000000000000000,-1.49219728185951317e-003,-1.10419683574064075e-003,-2.93801256783148782e-004,-8.76892760598477856e-005,-2.79123634819244430e-005,-2.68466465769114730e-019
38,1.05350391987513257e-003,-0.0000000000000000,-1.39741510936919897e-003,-1.07860674813440964e-003,-2.77673274398153812e-004,-8.28756441679791257e-005,-2.63801368621637274e-005,-4.88548778553969307e-019
39,9.42842780850430807e-004,-0.0000000000000000,-1.23258949529669068e-003,-1.01520530009983597e-003,-2.48506187079139624e-004,-7.41703009725632541e-005,-2.36091400602149319e-005,-2.65484656078807401e-018
40,7.74950351842043292e-004,-0.0000000000000000,-9.85389773712585246e-004,-9.08473313637287068e-004,-2.04254580958022777e-004,-6.09627628288953371e-005,-1.94050500973881398e-005,-4.15721311925831005e-019
41,5.40406411966742732e-004,-0.0000000000000000,-6.39934288174721054e-004,-7.51720743487389702e-004,-1.42435557271717217e-004,-4.25119723438647807e-005,-1.35319810775517531e-005,-1.85877483025443686e-018
42,2.27117426982372135e-004,-0.0000000000000000,-1.74425717634373988e-004,-5.36006412617126560e-004,-5.98616088968970974e-005,-1.78665714540296667e-005,-5.68710632634713233e-006,-1.19613306192079494e-018
43,1.81395110355390049e-004,-0.0000000000000000,-4.42891579487947155e-004,2.47878291711850843e-004,-4.78105238198976864e-005,-1.42697491027612890e-005,-4.54220221400770386e-006,-1.95396517214869101e-018
44,7.09029511344919116e-004,-0.0000000000000000,-1.26066240751779085e-003,-1.35529242099471231e-004,-1.86879747053482806e-004,-5.57769898848841338e-005,-1.77543673030302521e-005,-1.40603523477807950e-018
45,1.39285664162579464e-003,-0.0000000000000000,-2.35619193698980659e-003,-6.57265662756752883e-004,-3.67116872707727820e-004,-1.09571392408282231e-004,-3.48776574462009533e-005,-1.92624438140538252e-019
46,2.29509730724817337e-003,-0.0000000000000000,-3.85544243669751468e-003,-1.40367662550856462e-003,-6.04921512263723428e-004,-1.80547660215361417e-004,-5.74701051748931311e-005,-9.88033586336093794e-018
47,3.53183536361109792e-003,-0.0000000000000000,-5.97255202786096950e-003,-2.55106507232000582e-003,-9.30890024811680894e-004,-2.77837723556448877e-004,-8.84384941617701476e-005,-4.59517328609563070e-018
48,5.36065695809744610e-003,-0.0000000000000000,-9.14821228421657320e-003,-4.46130650861624109e-003,-1.41291469587899281e-003,-4.21705026612534959e-004,-1.34232879022918715e-004,5.89197812117800475e-019
49,8.63477643930147046e-003,-0.0000000000000000,-1.50959293869851498e-002,-8.08322937329429211e-003,-2.27587824080662058e-003,-6.79269100148841617e-004,-2.16218069960204360e-004,1.25594429282627243e-018
50,-9.14082000505103264e-005,0.0000000000000000,1.69555484548856902e-004,8.23563179910711196e-005,2.40925674559733024e-005,7.19077863949529993e-006,2.28889592715965762e-006,-2.10113692452895601e-019
51,-1.97117699698474172e-004,0.0000000000000000,3.08533703214986074e-004,1.77799480915490668e-004,5.19545452903474598e-005,1.55065928383524550e-005,4.93590180163073261e-006,-5.14518006843854180e-019
