id,ct0_re,ct0_im
0,-8.63471e-5,-5.35336e-5
1,+2.02613e-4,+1.25617e-4
2,+3.44157e-4,+2.13371e-4
3,+5.05960e-4,+3.13686e-4
4,+6.82655e-4,+4.23234e-4
5,+8.68562e-4,+5.38493e-4
6,+1.05771e-3,+6.55762e-4
7,+1.24388e-3,+7.71182e-4
8,+1.42059e-3,+8.80741e-4
9,+1.58115e-3,+9.80283e-4
10,+1.71858e-3,+1.06549e-3
11,+1.82561e-3,+1.13184e-3
12,+1.89453e-3,+1.17458e-3
13,+1.91706e-3,+1.18854e-3
14,+1.88397e-3,+1.16803e-3
15,+1.78468e-3,+1.10647e-3
16,+1.60637e-3,+9.95918e-4
17,+1.33271e-3,+8.26253e-4
18,+9.41529e-4,+5.83731e-4
19,+4.00727e-4,+2.48443e-4
20,+3.39629e-4,+2.10564e-4
21,+1.36365e-3,+8.45440e-4
22,+2.82787e-3,+1.75323e-3
23,+5.06807e-3,+3.14211e-3
24,+9.03085e-3,+5.59896e-3
25,-1.07784e-4,-6.68240e-5
26,-2.39540e-4,-1.48511e-4
27,+3.89514e-4,+2.41492e-4
28,+5.51710e-4,+3.42050e-4
29,+7.19924e-4,+4.46340e-4
30,+8.87776e-4,+5.50405e-4
31,+1.04874e-3,+6.50199e-4
32,+1.19616e-3,+7.41600e-4
33,+1.32330e-3,+8.20419e-4
34,+1.42326e-3,+8.82393e-4
35,+1.48903e-3,+9.23173e-4
36,+1.51339e-3,+9.38274e-4
37,+1.48876e-3,+9.23004e-4
38,+1.40704e-3,+8.72336e-4
39,+1.25924e-3,+7.80705e-4
40,+1.03501e-3,+6.41685e-4
41,+7.21754e-4,+4.47474e-4
42,+3.03333e-4,+1.88061e-4
43,+2.42267e-4,+1.50201e-4
44,+9.46963e-4,+5.87100e-4
45,+1.86027e-3,+1.15333e-3
46,+3.06528e-3,+1.90042e-3
47,+4.71704e-3,+2.92448e-3
48,+7.15957e-3,+4.43880e-3
49,+1.15324e-2,+7.14988e-3
50,-1.22083e-4,-7.56890e-5
51,-2.63266e-4,-1.63220e-4
52,-4.17106e-4,-2.58598e-4
53,+5.77034e-4,+3.57751e-4
54,+7.36384e-4,+4.56545e-4
55,+8.88426e-4,+5.50808e-4
56,+1.02640e-3,+6.36346e-4
57,+1.14351e-3,+7.08957e-4
58,+1.23299e-3,+7.64433e-4
59,+1.28804e-3,+7.98560e-4
60,+1.30179e-3,+8.07089e-4
61,+1.26728e-3,+7.85691e-4
62,+1.17725e-3,+7.29873e-4
63,+1.02397e-3,+6.34845e-4
64,+7.98900e-4,+4.95304e-4
65,+4.92113e-4,+3.05101e-4
66,+9.14794e-5,+5.67156e-5
67,+4.18747e-4,+2.59615e-4
68,+1.06028e-3,+6.57353e-4
69,+1.86501e-3,+1.15627e-3
70,+2.88317e-3,+1.78751e-3
71,+4.20084e-3,+2.60445e-3
72,+5.98463e-3,+3.71036e-3
