"re","im"
0.e-20,0
0.e-22,0
-1.2354386665708887803839388652705e8,-1.440048537724075979974713845877e8
-1.440048537724075979974713845877e8,1.2354386665708887803839388652705e8
0.e-22,0
0.e-25,0
0.e-26,0.e-25
0.e-25,0.e-25
0.e-25,0
-235281.1279385539678514760453254,0
0,470562.2558771079357029520906508
232980.30960686298840300878509879,271565.852070256994466035393998
235281.1279385539678514760453254,0
271565.852070256994466035393998,-232980.3096068629884030087850988
0.e-25,0
0.e-28,0
232.9803096068629884030087850988,271.56585207025699446603539399803
271.565852070256994466035393998,-232.98030960686298840300878509879
0.e-28,0
-2.046363078989089e-12,0
0,4.092726157978177e-12
0,0
2.046363078989089e-12,0
0,0
0.e-28,0
232.9803096068629884030087850988,-271.56585207025699446603539399803
-814.6975562107709833981061819941,-698.9409288205889652090263552964
1652.2182558771099820660310797393,0
-698.9409288205889652090263552964,814.6975562107709833981061819941
0,-3304.436511754219964132062159479
-232.9803096068629884030087850988,-271.56585207025699446603539399803
271.565852070256994466035393998,232.98030960686298840300878509879
-1652.218255877109982066031079739,0
-271.565852070256994466035393998,232.98030960686298840300878509879
0.e-28,0
0.e-31,0
0,0
0,0
0,0
1.,0
0,-2.
0,0
-1.,0
0,0
0.e-31,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
-1.,0
0,2.
0,0
0.e-31,0
0,0
-1.,0
0,2.
0,0
0,2.
0,0
1.,0
0,0
1.,0
0,0
0.e-31,0
