"re","im"
-1.601599221309602896736501895487e10,0.e-21
7.73341212632256416403576089176e7,0.e-23
-9.97118374078220105193570979892e6,3.99866409576813974480473231504e7
-3.99866409576813974480473231504e7,-9.97118374078220105193570979892e6
-6.56344882545331523084511367012e7,0.e-23
-1276.389315100397595181932694,0.e-26
-107401.9765852346595227251184299,430705.5598919476263372644712332
-430705.5598919476263372644712332,-107401.9765852346595227251184299
-306783.7064227024086449091555551,0
-81132.241536069498984668559979,-92517.2569172907916900247508376
185034.5138345815833800495016752,-347944.1894948419750484348835935
65898.3529078852743574974387367,-264266.8960810342549435633975116
266811.947958772476063766323614,92517.2569172907916900247508376
264266.8960810342549435633975116,65898.35290788527435749743873671
308060.0957378028062400910882492,0.e-26
-999.9999999999994315658113919199,0
214.8039531704694411473610671237,-861.4111197838957423300598748028
861.4111197838957423300598748028,214.80395317046944114736106712371
613.5674128454053857240069191903,0
999.9999999999994315658113919199,0
0,0
0,0
999.9999999999994315658113919199,0
0,0
999.9999999999994315658113919199,0
-214.8039531704694411473610671237,861.4111197838957423300598748028
-861.4111197838957423300598748028,-214.80395317046944114736106712371
-613.5674128454053857240069191903,0
-214.8039531704694411473610671237,861.4111197838957423300598748028
0,0
-214.8039531704694411473610671237,861.4111197838957423300598748028
-861.4111197838957423300598748028,-214.80395317046944114736106712371
-613.5674128454053857240069191903,0
-861.4111197838957423300598748028,-214.80395317046944114736106712371
-613.5674128454053857240069191903,0
1.,0
0,0
0,0
0,0
-2.,0
0,0
0,0
-2.,0
0,0
-2.,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1.,0
0,0
0,0
2.,0
0,0
2.,0
0,0
0,0
0,0
0,0
1.,0
0,0
2.,0
0,0
1.,0
