seed,real,real_err,imag,imag_err
0,0.00022308 , 1.98868e-06 ,-0.00384644 , 3.70031e-06
1,-0.0048182 , 3.6765e-06 ,0.000887176 , 3.56619e-06
2,0.010886 , 1.01861e-05 ,-0.0114364 , 2.13256e-05
3,-0.00421739 , 3.70585e-06 ,-0.000948763 , 3.50478e-06
4,0.00783186 , 3.17661e-06 ,0.000421418 , 3.20691e-06
5,0.0185005 , 5.16483e-06 ,0.00117676 , 1.13544e-05
6,-0.00293142 , 1.07681e-05 ,0.00805923 , 2.40093e-05
7,0.0157236 , 7.40458e-06 ,-0.00458863 , 3.17843e-06
8,0.00461757 , 5.66921e-06 ,-0.00380148 , 5.35048e-06
9,-0.000131739 , 3.10094e-07 ,-0.000388386 , 2.06685e-06
