seed,real,real_err,imag,imag_err
0, 2.2272255159466034e-04, 2.1320540259225868e-05 , -3.7340443697983549e-03, 2.3961542576352029e-04 
1, -4.8166197636604468e-03, 2.0324899901090878e-05 , 8.5739044345052573e-04, 1.9533870347517812e-05 
2, 9.0943361858013914e-03, 1.0792076794454426e-03 , -9.8155599470040444e-03, 3.6770456458119056e-04 
3, -4.3387475627092945e-03, 2.8424081135403088e-05 , -1.2034741059482573e-03, 1.0558955824287705e-04
4, 7.2137529909170146e-03, 1.5672580829951668e-04 , 9.3658790471799096e-04, 8.4336915243353951e-05 
5, 2.6196826685199084e-02, 1.9382218415995363e-03 , 9.2587580824171178e-04, 2.1189592177634148e-04 
6, 2.1747977850066516e-04, 7.5526541026968517e-04 , 8.9171980025944987e-03, 5.1161135799434687e-04 
7, 2.0608757309577643e-02, 1.7698559038536251e-03 , -9.6902945090453479e-03, 2.1192796898208050e-03 
8, 3.9759277434952452e-03, 7.3171047278502651e-04 , -3.6312122614978845e-03, 1.4291905193426619e-04 
9, -1.1618534613648898e-04, 4.8850293111020157e-06 , -3.4432801967329530e-04, 5.3346842872211741e-06
