0_5_re,integrand_re,0_2_im,0_4_re,0_0_re,rescaled_integrand_re,rescaled_integrand_im,0_5_im,0_3_re,0_1_im,deform_jac_im,0_3_im,0_0_im,param_jac,0_1_re,integrand_im,deform_jac_re,0_4_im,0_2_re
0.0,-219028821550.25635,0.0,0.0,273529821057.9605,-0.0002565854121688506,2.0688183139050922e-06,0.0,0.0,602555351785.9052,-5.5511151231257984e-18,0.0,-602555351785.9052,2.1174292597673153e+62,-273529821057.9605,438057643100.5127,1.0,0.0,0.0
0.0,-1.357290375867217e-07,0.0,0.0,199151788512.16443,-2.4005346466025946e-22,-1.2106696272294027e-07,0.0,0.0,438708933167.1507,-7.993605777301159e-18,0.0,-438708933167.1507,4.924463714304969e+61,-199151788512.16443,-16979701197.192041,1.0,0.0,0.0
0.0,91262008979.27304,0.0,0.0,134888139212.59233,0.0002108869925205114,9.35196501358509e-07,0.0,0.0,297143360313.0505,-1.1102230246251628e-17,0.0,-297143360313.0505,1.3233932873545647e+61,-134888139212.59233,100388209877.20033,1.0,0.0,0.0
0.0,-17956704434.325417,0.0,0.0,95500357605.27565,-5.923717319932031e-05,-3.582168245931152e-07,0.0,0.0,210376518911.01544,-1.5765166949677348e-17,0.0,-210376518911.01544,3.2548842581354575e+60,-95500357605.27565,-26935056651.488125,1.0,0.0,0.0
0.0,-13155149524.064201,0.0,0.0,67855584124.107506,-6.239792186871752e-05,-1.2577679535681467e-07,0.0,0.0,149478200235.7101,-2.242650509742841e-17,0.0,-149478200235.7101,7.948468357301387e+59,-67855584124.107506,-6577574762.032101,1.0,0.0,0.0
0.0,-6547373701.532519,0.0,0.0,47760566147.58983,-4.3818213499528264e-05,-5.88835258950551e-08,0.0,0.0,105211141605.1305,-3.1752378504279974e-17,0.0,-105211141605.1305,1.9779932031506305e+59,-47760566147.58983,-2182457900.5108395,1.0,0.0,0.0
0.0,-6448921926.341514,0.0,0.0,33794343380.089355,-6.154165961904668e-05,3.721524289274862e-07,0.0,0.0,74445127719.5427,-4.507505479978237e-17,0.0,-74445127719.5427,4.870626116455998e+58,-33794343380.089355,9673382889.51227,1.0,0.0,0.0
0.0,-3183693974.4733295,0.0,0.0,23883141830.906918,-4.3216913312855887e-05,5.807549032525706e-08,0.0,0.0,52611868322.12158,-6.394884621841105e-17,0.0,-52611868322.12158,1.2022616490001694e+58,-23883141830.906918,1061231324.8244433,1.0,0.0,0.0
0.0,1317374836.9607084,0.0,0.0,16829892960.49262,2.5290478133731772e-05,1.121527998747927e-07,0.0,0.0,37074356405.11033,-9.059419880941682e-17,0.0,-37074356405.11033,2.984889734757348e+57,-16829892960.49262,1449112320.6567786,1.0,0.0,0.0
0.0,649629527.9340761,0.0,0.0,11900705293.869776,1.775994355550163e-05,-7.159817888899255e-08,0.0,0.0,26215911804.83652,-1.285638262516013e-16,0.0,-26215911804.83652,7.359608119581535e+56,-11900705293.869776,-649629527.9340763,1.0,0.0,0.0
