x,0_0_im,0_0_re,0_1_im,0_1_re,0_2_im,0_2_re,0_3_im,0_3_re,0_4_im,0_4_re,0_5_im,0_5_re,deform_jac_im,deform_jac_re,integrand_im,integrand_re,param_jac,rescaled_integrand_im,rescaled_integrand_re
1e-15,3.3109361829265916e-09,8.229539704272635e-09,1.5845025432884448e-25,7.438639699274771e-25,5.776620056606127e-10,1.0953781794476313e-09,2.6806420834383164e-16,7.886277541878849e-16,2.7033219772583087e-17,5.998107582228161e-19,3.00170298911652e-17,3.059851112271644e-18,0.0,1.0,619914.9355182657,181706.39101645089,16.49022769267481,3.759286694347105e-11,2.733273907157772e-09
1.4174741629268076e-15,3.934426009057575e-09,9.77926293086754e-09,2.245991869809099e-25,1.0544078651448693e-24,6.88391639579885e-10,1.3053467386279822e-09,3.799738488061102e-16,1.1178597404939733e-15,3.8318890793963636e-17,8.502164909517026e-19,4.254836444225813e-17,4.337261383775903e-18,0.0,1.0,519867.1123035522,152238.6618942751,16.490227692674956,4.4686963308153007e-11,3.2460339841572213e-09
2.009233002565046e-15,4.677959469941449e-09,1.1627362225200845e-08,3.1836362111090515e-25,1.4945957491500574e-24,8.201221735429115e-10,1.5551378045650615e-09,5.386027073547432e-16,1.5845377636240965e-15,5.431603803319095e-17,1.2051603113566724e-18,6.031120748050216e-17,6.147958463446036e-18,0.0,1.0,436168.7806528765,127644.0543578809,16.490227692675173,5.314448806341152e-11,3.857836751248448e-09
2.8480358684358048e-15,5.564210308650009e-09,1.3830194648375049e-08,4.512723365291186e-25,2.1185505936884694e-24,9.76871826638724e-10,1.852370847829135e-09,7.634547367294168e-16,2.2460421226610007e-15,7.699158118712917e-17,1.7082842828617224e-18,8.548957869091643e-17,8.714576519480777e-18,0.0,1.0,366065.46972496127,107078.50672923827,16.49022769267547,6.322335915565145e-11,4.587337712575538e-09
4.037017258596549e-15,6.620209421389165e-09,1.6454947253306762e-08,6.396670954939124e-25,3.0029902826079114e-24,1.1634221940355455e-09,2.2061128814956546e-09,1.08217620781596e-15,3.1837079983444565e-15,1.0913357817998057e-16,2.421449980334363e-18,1.2117926958856347e-16,1.2352694217412887e-17,0.0,1.0,307300.1890495969,89859.37091464708,16.490227692675884,7.523099073484629e-11,5.4567861307043365e-09
5.72236765935022e-15,7.878168006724004e-09,1.958168308855343e-08,9.067119486708003e-25,4.2566603830938656e-24,1.385464054349487e-09,2.627154947060986e-09,1.5339548633291316e-15,4.51282605866276e-15,1.546940292078274e-16,3.4323447186969846e-18,1.717684847277397e-16,1.750963697936173e-17,0.0,1.0,258010.40147613612,75428.72848118829,16.490227692676477,8.953365621741594e-11,6.492702402191919e-09
8.11130830789689e-15,9.376459380262294e-09,2.330578151654292e-08,1.2852413813874536e-24,6.033704840890834e-24,1.6497709364972547e-09,3.128341250704901e-09,2.1743380933611873e-15,6.396818101127625e-15,2.1927479264939055e-16,4.865263222125837e-18,2.434773908003605e-16,2.4819478412981066e-17,0.0,1.0,216651.22331807646,63327.07301063756,16.490227692677323,1.0656765330149434e-10,7.726686241868666e-09
1.1497569953977357e-14,1.1160789022014344e-08,2.774084661410915e-08,1.821797499129571e-24,8.552618571204206e-24,1.96440574552821e-09,3.724960951917669e-09,3.082062512339278e-15,9.067330730718957e-15,3.1081635837341324e-16,6.896390423450725e-18,3.4512291357465263e-16,3.518100380237182e-17,0.0,1.0,181936.56617450403,53173.82508285806,16.49022769267852,1.268526084516431e-10,9.196380163004065e-09
1.629750834620647e-14,1.3285588610685154e-08,3.302217191771063e-08,2.582352653530551e-24,1.2123112225927561e-23,2.3389666978358044e-09,4.4352145628042466e-09,4.368734602607328e-15,1.2852717749497798e-14,4.405741662047623e-16,9.775464541865302e-18,4.892028178498071e-16,4.986822199428897e-17,0.0,1.0,152792.99915653258,44652.499878363335,16.490227692680204,1.5100732539313876e-10,1.0946617493621332e-08
2.310129700083158e-14,1.58156762288231e-08,3.931086727097829e-08,3.6604211503690846e-24,1.7184192238400145e-23,2.7848801443388512e-09,5.280769173606241e-09,6.192552598880834e-15,1.8218413410979387e-14,6.245025122915819e-16,1.3856484112098184e-17,6.934323628736418e-16,7.068701424217063e-17,0.0,1.0,128322.93110698389,37499.150001481765,16.490227692682602,1.797686604918817e-10,1.3030789824018478e-08
