x,0_0_im,0_0_re,0_1_im,0_1_re,0_2_im,0_2_re,0_3_im,0_3_re,0_4_im,0_4_re,0_5_im,0_5_re,deform_jac_im,deform_jac_re,integrand_im,integrand_re,param_jac,rescaled_integrand_im,rescaled_integrand_re
1e-15,1.6844386949319075e-17,5.673469649638036e-18,7.04862975973029e-55,2.1022007843568747e-54,3.8247403931709824e-17,1.2882361705230668e-17,4.689087258186586e-47,1.6393932434846621e-46,1.7397395689253856e-47,8.311103432321246e-49,1.771267428467895e-47,1.8055766828015034e-48,0.0,1.0,2.6191209636846317e+27,7.982936844447666e+27,34.63605900582742,7.561833068952714e-20,5.717074185112324e-17
1.4174741629268076e-15,2.2268274404701912e-17,5.100025713141131e-18,2.0074750379036102e-54,5.987143236502276e-54,5.611263261254171e-17,1.2851281781203547e-17,1.3354688701540548e-46,4.669050759915614e-46,4.954840694036566e-47,2.367032068153111e-48,5.044633168868632e-47,5.1423471558300765e-48,0.0,1.0,8.79026483377771e+26,3.986209771657974e+27,34.6360590058274,7.228013307009573e-20,8.130490341035447e-17
2.009233002565046e-15,3.224680600594267e-17,6.2796614850678146e-18,5.717360912939e-54,1.7051598687021135e-53,8.344523967648866e-17,1.6249915033820108e-17,3.803463243378068e-46,1.3297624035786903e-45,1.4111564019001396e-46,6.741392231837853e-48,1.4367296208038714e-46,1.4645589147752893e-47,0.0,1.0,3.9250008691051905e+26,2.045890786275884e+27,34.63605900582736,9.19183448461007e-20,1.1884597826148695e-16
2.8480358684358048e-15,4.762151326792318e-17,8.316957868963463e-18,1.6283248952843365e-53,4.8563564674809095e-53,1.2694919386444683e-16,2.2171305034535995e-17,1.0832399741417611e-45,3.787211021889491e-45,4.019024048584431e-46,1.919972687946903e-47,4.09185749329361e-46,4.1711163207175003e-47,0.0,1.0,1.842363069684941e+26,1.0780876509645764e+27,34.63605900582732,1.2288054033224485e-19,1.7836168613674393e-16
4.037017258596549e-15,6.78683588845127e-17,1.0405294007990959e-17,4.637527707236787e-53,1.3831077409295642e-52,1.7445848898321544e-16,2.6747248642755037e-17,3.085106300479051e-45,1.0786112831676435e-44,1.1446324646474474e-45,5.468151081689941e-47,1.1653756909427911e-45,1.1879488892821511e-46,0.0,1.0,7.987697209326596e+25,5.2237401452137714e+26,34.63605900582724,1.5173121692731582e-19,2.461356479015507e-16
5.72236765935022e-15,9.804476977203053e-17,1.29196203274654e-17,1.3207845251075538e-52,3.9391404560786095e-52,2.6431629302748797e-16,3.4829661594566385e-17,8.786493401701141e-45,3.071923622560955e-44,3.259954315492031e-45,1.5573490414679474e-46,3.3190317680082345e-45,3.3833210465441327e-46,0.0,1.0,3.599905809206181e+25,2.6945656963706474e+26,34.63605900582716,1.947555934355e-19,3.61598969045934e-16
8.11130830789689e-15,1.3615456522935302e-16,1.6815150353784764e-17,3.7616417019813865e-52,1.1218813309718396e-51,3.738948843413429e-16,4.617618723335907e-17,2.502424836581714e-44,8.748948662148586e-44,9.284466819983474e-45,4.435385929775027e-46,9.452721523765366e-45,9.635819694991809e-46,0.0,1.0,1.6449723262173904e+25,1.3384546970789659e+26,34.63605900582702,2.534561610258017e-19,5.115493505581445e-16
1.1497569953977357e-14,1.9480650018902e-16,2.2947681505578903e-17,1.0713290491447213e-51,3.195158270736231e-51,5.390001399141672e-16,6.349276605350152e-17,7.126995692648365e-44,2.4917319600901235e-43,2.6442494522614963e-44,1.2632138218355338e-45,2.6921689954018573e-44,2.7443160113117814e-45,0.0,1.0,7.96662395697126e+24,6.742906496583171e+25,34.63605900582683,3.495940471715314e-19,7.339668639018251e-16
1.629750834620647e-14,2.7689615151326894e-16,3.086426921982371e-17,3.0511835588615696e-51,9.099925360385972e-51,7.679728766661257e-16,8.56022067817783e-17,2.0297939366846518e-43,7.096541996864074e-43,7.530917285132564e-44,3.597678274091766e-45,7.667393862795262e-44,7.815910434539167e-45,0.0,1.0,3.770871990126836e+24,3.3742706758107673e+25,34.63605900582657,4.712777704887214e-19,1.0460554061477016e-15
2.310129700083158e-14,3.9224335920497876e-16,4.3199257455372385e-17,8.689880216819961e-51,2.5916913826466955e-50,1.0947890547680764e-15,1.2057329493615276e-16,5.780925937209852e-43,2.021120614892783e-42,2.1448322550280798e-43,1.0246316767706595e-44,2.1837012738665084e-43,2.225999326205103e-44,0.0,1.0,1.8525637787631217e+24,1.6874117452736836e+25,34.63605900582619,6.594073574803645e-19,1.489845703498855e-15
3.2745491628777315e-14,5.551913332232908e-16,5.835918421420797e-17,2.4749090549916787e-50,7.381230017693531e-50,1.5626219303452525e-15,1.6425570003138502e-16,1.6464284421938705e-42,5.756224005648898e-42,6.108559194098143e-43,2.9181877673788226e-44,6.219259553920719e-43,6.339725924146919e-44,0.0,1.0,8.879954113551079e+23,8.412338717038472e+24,34.63605900582566,9.001954142203667e-19,2.115350953706673e-15
4.6415888336127726e-14,7.866674936181146e-16,8.298493307835054e-17,7.048629759733894e-50,2.10220078435649e-49,2.1998176157352944e-15,2.320570242277457e-16,4.68908725817856e-42,1.639393243483603e-41,1.739739568925508e-42,8.311103432327229e-44,1.7712674284677814e-42,1.805576682802586e-43,0.0,1.0,4.388526874161352e+23,4.172288652087778e+24,34.636059005824876,1.2670399000715698e-18,2.9880336285361364e-15
6.579332246575682e-14,1.1175167094902776e-15,1.161671446163901e-16,2.0074750379050667e-49,5.9871432365007374e-49,3.1357218497617645e-15,3.25961885404233e-16,1.3354688701508207e-41,4.669050759911352e-41,4.954840694037067e-42,2.367032068155526e-43,5.044633168868183e-42,5.1423471558344455e-43,0.0,1.0,2.1682574768236264e+23,2.0834339457265646e+24,34.6360590058238,1.7829034951578857e-18,4.249485235914052e-15
9.32603346883218e-14,1.5835995005137875e-15,1.629883498955425e-16,5.717360912944897e-49,1.7051598687014966e-48,4.452699171606562e-15,4.582838592211176e-16,3.8034632433650224e-41,1.3297624035769703e-40,1.4111564019003448e-41,6.7413922318476225e-43,1.4367296208036924e-41,1.4645589147770585e-42,0.0,1.0,1.068540998569067e+23,1.0395073484916533e+24,34.63605900582228,2.5023821207732327e-18,6.0385074594521046e-15
1.3219411484660287e-13,2.242486164689529e-15,2.2982878301062986e-16,1.6283248952867222e-48,4.8563564674784276e-48,6.308236983911422e-15,6.465210139392932e-16,1.0832399741364922e-40,3.787211021882549e-40,4.019024048585268e-41,1.9199726879508544e-42,4.0918574932928954e-41,4.171116320724657e-42,0.0,1.0,5.296077795276358e+22,5.169548182287786e+23,34.6360590058201,3.532337962226876e-18,8.552637900389734e-15
1.8738174228603867e-13,3.180434639685763e-15,3.239555170472447e-16,4.637527707246485e-48,1.383107740928583e-47,8.950569203855375e-15,9.116949734095372e-16,3.0851063004578338e-40,1.0786112831648544e-39,1.144632464647801e-40,5.468151081705969e-42,1.1653756909425189e-40,1.1879488892850576e-41,0.0,1.0,2.6229570702877405e+22,2.574970582581498e+23,34.63605900581703,4.9824681356009815e-18,1.2132916934086616e-14
2.6560877829466837e-13,4.508244413488521e-15,4.58245543667173e-16,1.3207845251114476e-47,3.93914045607458e-47,1.2691003156755413e-14,1.2899912044978238e-15,8.786493401615293e-40,3.071923622549651e-39,3.259954315493407e-40,1.5573490414743935e-41,3.3190317680070825e-40,3.3833210465558086e-41,0.0,1.0,1.3020938443669543e+22,1.281697059936781e+23,34.63605900581266,7.044352625004435e-18,1.7199815767222845e-14
3.7649358067924714e-13,6.389912489339571e-15,6.477320392606863e-16,3.7616417019971085e-47,1.1218813309702154e-46,1.7993732303057922e-14,1.823986938423033e-15,2.5024248365470794e-39,8.748948662102971e-39,9.284466819989048e-40,4.4353859298010534e-41,9.452721523760736e-40,9.635819695038966e-41,0.0,1.0,6.469231608105813e+21,6.37904540386387e+22,34.63605900580648,9.967745852288273e-18,2.4380328603209187e-14
5.336699231206301e-13,9.05860578403067e-15,9.17655231262747e-16,1.0713290491510706e-46,3.195158270729678e-46,2.5510383697318176e-14,2.5842538695787647e-15,7.126995692508534e-39,2.4917319600717143e-38,2.6442494522637517e-39,1.2632138218460431e-40,2.6921689953999924e-39,2.744316011330822e-40,0.0,1.0,3.216714183229529e+21,3.175897993254459e+22,34.63605900579772,1.411569236836109e-17,3.456971991772705e-14
7.564633275546291e-13,1.2839706032162215e-14,1.298474073272832e-15,3.05118355888721e-46,9.099925360359542e-46,3.616563535448415e-14,3.657415499293775e-15,2.029793936628206e-38,7.09654199678976e-38,7.530917285141682e-39,3.5976782741342027e-40,7.667393862787748e-39,7.815910434616061e-40,0.0,1.0,1.5990651153682622e+21,1.5806926895168088e+22,34.63605900578529,1.9984869399202057e-17,4.900294885003178e-14
1.0722672220103254e-12,1.8197728899251392e-14,1.839104813620899e-15,8.689880216923594e-46,2.59169138263606e-45,5.125408019073496e-14,5.17985656948155e-15,5.780925936982083e-38,2.02112061486281e-37,2.1448322550317914e-38,1.0246316767878066e-39,2.183701273863506e-38,2.225999326236181e-39,0.0,1.0,7.950907594290615e+20,7.866021902433055e+21,34.63605900576767,2.8300709678298314e-17,6.94504999613294e-14
1.5199110829529332e-12,2.579404503733595e-14,2.606187294146611e-15,2.4749090550334762e-45,7.381230017650471e-45,7.265772521242358e-14,7.341215384138698e-15,1.6464284421018762e-37,5.756224005527822e-37,6.108559194113033e-38,2.9181877674479994e-39,6.219259553908501e-38,6.339725924272261e-39,0.0,1.0,3.956030727496386e+20,3.915229541774224e+21,34.636059005742716,4.0103818937319974e-17,9.845162949059328e-14
2.1544346900318868e-12,3.6563221793836956e-14,3.692701707419448e-15,7.048629759902736e-45,2.10220078433914e-44,1.029961217756037e-13,1.0402090844660675e-14,4.689087257807283e-37,1.6393932434347415e-36,1.7397395689315425e-37,8.311103432606612e-39,1.771267428462873e-37,1.805576682853216e-38,0.0,1.0,1.968171492437852e+20,1.9486798254772598e+21,34.636059005707324,5.682434863947845e-17,1.3955699941522867e-13
3.0538555088334124e-12,5.182770819163239e-14,5.233249217746318e-15,2.0074750379731976e-44,5.987143236430598e-44,1.4600230591918448e-13,1.4742431794000665e-14,1.3354688700009075e-36,4.669050759714024e-36,4.954840694061352e-37,2.3670320682682786e-38,5.044633168848288e-37,5.142347156038757e-38,0.0,1.0,9.7938568624229e+19,9.699023507690552e+20,34.636059005657174,8.053241747264203e-17,1.978265607289943e-13
4.328761281083061e-12,7.346348825919889e-14,7.41650233199971e-15,5.717360913220017e-44,1.7051598686732026e-43,2.0694820627049308e-13,2.0892444536020855e-14,3.803463242759873e-36,1.3297624034973287e-35,1.411156401910168e-36,6.741392232302896e-38,1.436729620795681e-36,1.4645589148595592e-37,0.0,1.0,4.873262787998554e+19,4.8271325856762764e+20,34.63605900558606,1.141253886086818e-16,2.8040856246822003e-13
6.135907273413188e-12,1.0413153498222878e-13,1.0511334280165439e-14,1.6283248953977835e-43,4.856356467364191e-43,2.933513616831039e-13,2.961172351112116e-14,1.0832399738921909e-35,3.787211021561019e-35,4.0190240486249105e-36,1.919972688134642e-37,4.0918574932605384e-36,4.1711163210577005e-37,0.0,1.0,2.4251742532676657e+19,2.402528215301365e+20,34.636059005485286,1.6175244041082783e-16,3.974806529813105e-13
8.697490026177835e-12,1.4760494933824759e-13,1.4898387892819446e-14,4.637527707694768e-43,1.3831077408824432e-42,4.15820073936844e-13,4.1970467647624865e-14,3.085106299471525e-35,1.0786112830350368e-34,1.1446324646637872e-35,5.468151082447838e-37,1.1653756909294385e-35,1.1879488894194884e-36,0.0,1.0,1.2069388171870474e+19,1.1957557321362465e+20,34.63605900534243,2.292654449612128e-16,5.63424105494866e-13
1.2328467394420634e-11,2.09226552443012e-13,2.1117284040074518e-14,1.3207845252924224e-42,3.93914045588832e-42,5.894177383304319e-13,5.949006778057375e-14,8.786493397633561e-35,3.0719236220255814e-34,3.259954315557949e-35,1.55734904177389e-36,3.3190317679542827e-35,3.383321047098512e-36,0.0,1.0,6.006712516846791e+18,5.951341029485965e+19,34.636059005139934,3.249642970786802e-16,7.986440203124883e-13
1.747528400007683e-11,2.96571926811698e-13,2.9932185724509195e-14,3.7616417027277136e-42,1.1218813308950231e-41,8.35488340240067e-13,8.432353124142232e-14,2.5024248349396343e-34,8.748948659987305e-34,9.284466820249615e-35,4.435385931010133e-36,9.452721523547592e-35,9.63581969722987e-36,0.0,1.0,2.989477348000924e+18,2.962009972445645e+19,34.63605900485291,4.606165344200926e-16,1.1320624307275481e-12
2.4770763559917138e-11,4.203841234877133e-13,4.242664355420287e-14,1.0713290494460324e-41,3.195158270426173e-41,1.1842913920181578e-12,1.1952285028565762e-13,7.126995686019385e-34,2.4917319592176482e-33,2.644249452368981e-34,1.2632138223341685e-35,2.6921689953139843e-34,2.744316012215337e-35,0.0,1.0,1.487821069257918e+18,1.474205337434254e+19,34.636059004446054,6.528905994546676e-16,1.6046757712796116e-12
3.511191734215142e-11,5.958801371830794e-13,6.013698505643095e-14,3.0511835600779674e-41,9.099925359134244e-41,1.6786961403606461e-12,1.6941615960109905e-13,2.029793934008503e-33,7.096541993341853e-33,7.530917285566468e-34,3.5976782761047645e-35,7.667393862440501e-34,7.815910438186832e-35,0.0,1.0,7.404697734745898e+17,7.337112687910658e+18,34.63605900386934,9.254277124516668e-16,2.274573420608417e-12
4.977023564332114e-11,8.446474464685782e-13,8.524177822579794e-14,8.689880221730556e-41,2.591691382141368e-40,2.3795186721300993e-12,2.401409049134459e-13,5.7809259264062294e-33,2.0211206134708559e-32,2.1448322552032446e-33,1.024631677583308e-34,2.1837012737232883e-33,2.225999327677668e-34,0.0,1.0,3.685303167853898e+17,3.6517202368959575e+18,34.63605900305188,1.3117583596747749e-15,3.224168446731217e-12
7.05480231071863e-11,1.1972657998437186e-12,1.2082638023605136e-13,2.4749090569740574e-40,7.381230015653405e-40,3.372912711702067e-12,3.4038960401660467e-13,1.6464284378323988e-32,5.756223999908484e-32,6.108559194805201e-33,2.918187770659455e-34,6.21925955334245e-33,6.3397259300915865e-34,0.0,1.0,1.834165663027147e+17,1.817470829976939e+18,34.63605900189313,1.8593649222188056e-15,4.570178143416133e-12
1e-10,1.6970920017982502e-12,1.7126626918294908e-13,7.048629767736915e-40,2.1022007835329242e-39,4.781016863688067e-12,4.824882291229718e-13,4.689087240571335e-32,1.6393932411662065e-31,1.7397395692109755e-32,8.31110344557134e-34,1.7712674282343606e-32,1.8055766852024938e-33,0.0,1.0,9.12858491627284e+16,9.045594372834998e+17,34.63605900025065,2.6355726314609813e-15,6.478108883227285e-12
1.4174741629268076e-10,2.4055846798928535e-12,2.4276474309160435e-13,2.0074750411358967e-39,5.987143233175973e-39,6.776972963784783e-12,6.839127699899316e-13,1.3354688630427437e-31,4.669050750555979e-31,4.954840695189498e-32,2.367032073502194e-33,5.044633167925851e-32,5.142347165522902e-33,0.0,1.0,4.543308082599624e+16,4.5020153102117075e+17,34.63605899792246,3.73584777106836e-15,9.182555384685518e-12
2.0092330025650458e-10,3.4098534860718436e-12,3.441112896622257e-13,5.7173609259878015e-39,1.7051598673592798e-38,9.606188939300534e-12,9.694252334038617e-13,3.803463214669582e-31,1.329762399800188e-30,1.4111564023655802e-31,6.741392253432199e-33,1.4367296204232688e-31,1.4645589186883017e-32,0.0,1.0,2.2612037926907844e+16,2.2406653042751264e+17,34.636058994622324,5.2954411217362676e-15,1.3016044742741647e-11
2.848035868435805e-10,4.833378891503486e-12,4.877678952745053e-13,1.6283249005521614e-38,4.856356462059866e-38,1.3616523599909725e-11,1.374132476540903e-12,1.0832399625520941e-30,3.787211006635611e-30,4.0190240504634235e-31,1.91997269666458e-32,4.0918574917571125e-31,4.1711163365144026e-32,0.0,1.0,1.1254050208621488e+16,1.1151841767258037e+17,34.63605898994446,7.506141400414953e-15,1.8449903403223178e-11
4.03701725859655e-10,6.8511913133783664e-12,6.913969725012258e-13,4.6375277285030906e-38,1.3831077387410813e-37,1.930107929936509e-11,1.947793712512066e-12,3.0851062536913682e-30,1.0786112770096248e-29,1.1446324654060002e-30,5.468151116883355e-32,1.1653756903225043e-30,1.1879488956593885e-31,0.0,1.0,5601158719994386.0,5.550300279588451e+16,34.63605898331371,1.0639745186483625e-14,2.6152272476730212e-11
5.722367659350221e-10,9.711386141539673e-12,9.800362800305855e-13,1.3207845336927966e-37,3.939140447243659e-37,2.735878237262111e-11,2.7609444920326762e-12,8.786493212818401e-30,3.07192359770093e-29,3.259954318554322e-30,1.5573490556755898e-31,3.3190317655041265e-30,3.383321072289146e-31,0.0,1.0,2787706256452399.5,2.7623975393611224e+16,34.63605897391479,1.508154422849166e-14,3.707017069926129e-11
8.111308307896889e-10,1.3765640306043635e-11,1.3891751178614519e-12,3.761641736640151e-37,1.1218813274051545e-36,3.878037072987333e-11,3.9135645994235015e-12,2.5024247603294415e-29,8.748948561788256e-29,9.284466832345991e-30,4.435385987131513e-31,9.452721513656236e-30,9.635819798924855e-31,0.0,1.0,1387447012163650.8,1.3748518474013196e+16,34.63605896059207,2.137768448649946e-14,5.254601236076335e-11
1.1497569953977357e-09,1.9512438599777787e-11,1.969117669083506e-12,1.0713290631365259e-36,3.195158256337463e-36,5.497017734436013e-11,5.547371077705739e-12,7.126995384816642e-29,2.49173191957448e-28,2.6442494572522676e-29,1.2632138449904485e-30,2.692168991320785e-29,2.7443160532697393e-30,0.0,1.0,690535059140783.8,6842670278654911.0,34.636058941707454,3.030228962602339e-14,7.448261750301514e-11
1.62975083462064e-09,2.7658378747283436e-11,2.7911730357385224e-12,3.0511836153466865e-36,9.09992530225778e-36,7.791880720628776e-11,7.863253567241531e-12,2.029793812412418e-28,7.096541833301646e-28,7.530917305280298e-29,3.59767836756851e-30,7.667393846319807e-29,7.815910603924056e-30,0.0,1.0,343680834739394.25,3405613237646619.0,34.636058914939,4.2952701233237407e-14,1.0557718956498802e-10
2.310129700083158e-09,3.920503696331149e-11,3.956414389263586e-12,8.689880444851514e-36,2.591691359180293e-35,1.1044791027403011e-10,1.114595609933807e-11,5.780925435520823e-28,2.02112054886238e-27,2.144832263161793e-28,1.0246317145074015e-29,2.1837012672153776e-28,2.2259993945861182e-29,0.0,1.0,171050709547110.66,1694981829992953.2,34.63605887699542,6.08843258678223e-14,1.496529470883175e-10
3.2745491628777316e-09,5.557212835096765e-11,5.608114561831524e-12,2.4749091470484063e-35,7.381229922959249e-35,1.5655706834775284e-10,1.5799102378158934e-11,1.6464282396611338e-27,5.756223739083033e-27,6.108559226934081e-28,2.918187919722697e-29,6.219259527069988e-28,6.339726200202235e-29,0.0,1.0,85132329327316.69,843596487804618.5,34.636058823211364,8.630194693174416e-14,2.1212919551317037e-10
4.641588833612792e-09,7.877205627142674e-11,7.949356849320071e-12,7.048630131368589e-35,2.1022007461121274e-34,2.2191560862508637e-10,2.239481604357202e-11,4.689086440550487e-27,1.639393135870514e-26,1.7397395821814538e-27,8.31110404734219e-29,1.7712674176281164e-27,1.805576794246621e-28,0.0,1.0,42370556298620.914,419859968217269.2,34.63605874697386,1.2233076692746737e-13,3.0068766048998684e-10
6.579332246575682e-09,1.1165735279937734e-10,1.1268008395749364e-11,2.0074751879346e-34,5.987143082107473e-34,3.145596353224906e-10,3.174406934075164e-11,1.3354685400729212e-26,4.669050325475364e-26,4.954840747551466e-27,2.3670323164380916e-28,5.044633125108181e-27,5.142347605735855e-28,0.0,1.0,21087924033692.547,208965294663734.62,34.63605863890916,1.7340068818146956e-13,4.262169893700217e-10
9.32603346883218e-09,1.5827141314047201e-10,1.5972113856953372e-11,5.717361518616705e-34,1.7051598063726672e-33,4.4588016520619134e-10,4.499639777370905e-11,3.8034619108347955e-26,1.3297622281944054e-25,1.411156423504199e-26,6.741393234168628e-28,1.4367296031377032e-26,1.4645590964030311e-27,0.0,1.0,10495509837418.318,104002520746780.28,34.636058485730246,2.4579100469800215e-13,6.041515797582562e-10
1.3219411484660288e-08,2.243456365192091e-10,2.2640063812991657e-11,1.6283251397974773e-33,4.8563562158558715e-33,6.320236240181665e-10,6.378122747094045e-11,1.0832394361917263e-25,3.7872103138600543e-25,4.019024135800402e-26,1.919973092589582e-27,4.091857421974992e-26,4.171117053951858e-27,0.0,1.0,5223640100889.321,51762299542703.66,34.636058268603094,3.484024090162871e-13,8.563692583810036e-10
1.8738174228603867e-08,3.1800414349031416e-10,3.209172002317996e-11,4.6375286943406224e-33,1.3831076393481215e-32,8.958771803966335e-10,9.040824536354326e-11,3.085104128765382e-25,1.0786109973349244e-24,1.1446324998567006e-25,5.4681527152395346e-27,1.1653756621513566e-25,1.1879491852901448e-26,0.0,1.0,2599818339430.386,25762218756707.867,34.63605796083098,4.938514843460803e-13,1.2138813225972872e-09
2.6560877829466893e-08,4.5076265335729984e-10,4.548921278474945e-11,1.3207849236030643e-32,3.9391400459925324e-32,1.269882801068546e-09,1.2815135860272855e-10,8.786484634454725e-25,3.071922468649144e-24,3.259954457632362e-25,1.557349700934748e-26,3.3190316517766785e-25,3.383322241533497e-26,0.0,1.0,1293935948893.3218,12821917133459.105,34.63605752457199,7.00021855368962e-13,1.7206454536169838e-09
3.7649358067924714e-08,6.389444128782406e-10,6.447984477307652e-11,3.761643310714604e-32,1.1218811654193748e-31,1.800026143964601e-09,1.816512596174995e-10,2.5024212972287884e-24,8.748944003785744e-24,9.284467393806369e-25,4.4353885920539724e-26,9.452721054536473e-25,9.635824519184498e-26,0.0,1.0,643995173245.121,6381498475141.351,34.63605690618617,9.922632230529652e-13,2.4389705572866854e-09
