x,0_0_im,0_0_re,0_1_im,0_1_re,0_2_im,0_2_re,0_3_im,0_3_re,0_4_im,0_4_re,0_5_im,0_5_re,deform_jac_im,deform_jac_re,integrand_im,integrand_re,param_jac,rescaled_integrand_im,rescaled_integrand_re
999999999999999.9,2.8013133349997233e+28,7.954013085822921e+27,602555351785.9052,273529821057.9605,1.7099097546342408e+27,3.025422113401439e+27,3.0122778024373196e+28,5.870008024732903e+27,1.2281948730664535e+28,8.711849805898688e+27,1.1882213810922819e+28,9.653266858210109e+27,0.0,1.0,6.853201325562029e+24,4.832843206362807e+25,2.1174292597673153e+62,32365668.387500823,56615246216.23838
705480231071863.1,1.4163765446588569e+28,4.021641360112368e+27,438708933167.1507,199151788512.16443,8.64550223528479e+26,1.5296885448604948e+27,1.5230426286351741e+28,2.9679442064954765e+27,6.209895868295499e+27,4.4048124040600893e+27,6.007785252060806e+27,4.880803795303692e+27,0.0,1.0,1.5377991535858135e+24,1.4005974757270485e+25,4.924463714304969e+61,10964661.311786281,24771285689.53941
497702356433211.4,6.907180022420014e+27,1.9612158196672728e+27,297143360313.0505,134888139212.59232,4.216113331482035e+26,7.459763575885817e+26,7.427353734057159e+27,1.447364050758152e+27,3.0283520893188944e+27,2.1480751255422494e+27,2.9297897108299516e+27,2.38019971422171e+27,0.0,1.0,1.4336434991984893e+24,2.87330233180321e+24,1.3233932873545647e+61,13355536.335251449,6639587426.72178
351119173421512.75,3.4438455430068894e+27,9.778410780539281e+26,210376518911.01544,95500357605.27565,2.1021086837619738e+26,3.7193577493726035e+26,3.703198551412091e+27,7.216401221819437e+26,1.5099037250519621e+27,1.0710071147893418e+27,1.4607615850229584e+27,1.1867419338546177e+27,0.0,1.0,1.1009827429001954e+23,6.089101575069872e+23,3.2548842581354575e+60,1464227.63165689,2008726968.5252721
247707635599171.4,1.720129862614751e+27,4.8841146278104104e+26,149478200235.7101,67855584124.10749,1.0499599579148505e+26,1.857742530710997e+26,1.8496713444104894e+27,3.604443662540982e+26,7.541657878382779e+26,5.3494597774948054e+26,7.296203018340248e+26,5.927531342936374e+26,0.0,1.0,1.8179183507904011e+22,3.722360250861751e+22,7.948468357301387e+59,347623.4822941362,176560170.3542885
174752840000768.28,8.551266564561395e+26,2.4280356397506696e+26,105211141605.1305,47760566147.58982,5.219656769749609e+25,9.235379219731935e+25,9.195255001759832e+26,1.7918739302902908e+26,3.749177795142979e+26,2.6593722676392236e+26,3.627155034919505e+26,2.9467484801520385e+26,0.0,1.0,2.8630048307606197e+21,9.194279259949869e+21,1.9779932031506305e+59,77244.93519453504,61532594.58711943
123284673944206.33,4.262309584019107e+26,1.2102347061122232e+26,74445127719.5427,33794343380.089355,2.6016956560791155e+25,4.603299998090207e+25,4.583300406506602e+26,8.931450526968841e+25,1.868747316877635e+26,1.3255425752728445e+26,1.8079260599980523e+26,1.4687829216665266e+26,0.0,1.0,8.814015644202423e+20,1.9046414007532712e+22,4.870626116455998e+58,33909.10261756607,181758740.63961303
86974900261778.34,2.1232248373701147e+26,6.0286573192597895e+25,52611868322.12158,23883141830.906914,1.2960074174284455e+25,2.293085637527713e+25,2.283123050636609e+26,4.449108451367159e+25,9.308968857728961e+25,6.603051381727675e+25,9.005994142492467e+25,7.3165881513627595e+25,0.0,1.0,9.257591738922747e+20,6.327109911593895e+21,1.2022616490001694e+58,50661.827152334365,85887074.18573382
61359072734131.63,1.0561320123376885e+26,2.9987676642717647e+25,37074356405.11034,16829892960.492619,6.446584919704748e+24,1.1406239726474308e+25,1.1356683943421092e+26,2.213070316034517e+25,4.6304563885376016e+25,3.2844820862170265e+25,4.479751060463874e+25,3.6394087106272115e+25,0.0,1.0,3.607352862588134e+20,2.8948356220840503e+20,2.984889734757348e+57,27918.79676326559,5557399.074812303
43287612810830.62,5.262488415061141e+25,1.4942241981435454e+25,26215911804.836525,11900705293.869774,3.212200563977114e+24,5.683494460803138e+24,5.658801834202449e+25,1.1027273829214791e+25,2.3072611014969986e+25,1.636589813231261e+25,2.232167738753404e+25,1.8134424440895096e+25,0.0,1.0,2.7444841087076647e+20,2.8498409925108397e+20,7.359608119581535e+56,30248.01917458242,7791058.286729144
